client_id,message_id,response_time_ms,leaf_node,category,Number of Clients
1,TestClient-1-74288b44-30ac-4c75-a146-4afa6a747ef5-58a53b37-857b-4442-ba11-b9e323b735d7,0.0,LN2,Same Super-Peer,1
1,TestClient-1-74288b44-30ac-4c75-a146-4afa6a747ef5-6e2bafcf-03ee-49e7-8e2d-f914b5a7b9d8,0.0,LN2,Same Super-Peer,1
1,TestClient-1-74288b44-30ac-4c75-a146-4afa6a747ef5-437fb6d2-c4e7-461a-b4dd-fe46a1a74c4b,0.0,LN2,Same Super-Peer,1
1,TestClient-1-74288b44-30ac-4c75-a146-4afa6a747ef5-2c305fe6-75ef-48b5-922b-fac0779e81f6,0.0,LN2,Same Super-Peer,1
1,TestClient-1-74288b44-30ac-4c75-a146-4afa6a747ef5-d08a73a2-2a7d-4722-b8e2-e6e1810c015f,0.0,LN2,Same Super-Peer,1
1,TestClient-1-74288b44-30ac-4c75-a146-4afa6a747ef5-a661d4b7-ff02-4770-9ae1-2e84f09c29d8,0.0,LN2,Same Super-Peer,1
1,TestClient-1-74288b44-30ac-4c75-a146-4afa6a747ef5-397d7cf7-ea47-4748-9405-e7ff9e42d7a8,0.0,LN2,Same Super-Peer,1
1,TestClient-1-74288b44-30ac-4c75-a146-4afa6a747ef5-d54b7045-73f4-4801-b2d8-c20a53fd075c,0.0,LN2,Same Super-Peer,1
1,TestClient-1-74288b44-30ac-4c75-a146-4afa6a747ef5-cabaa7da-ab13-4765-8bc7-7cdf879f83e8,0.0,LN2,Same Super-Peer,1
1,TestClient-1-74288b44-30ac-4c75-a146-4afa6a747ef5-efb69ade-5383-4e93-860f-7084b3fc9550,0.0,LN2,Same Super-Peer,1
1,TestClient-1-74288b44-30ac-4c75-a146-4afa6a747ef5-9d51be59-14d6-4f0b-bbf8-7e4fb486a295,0.0,LN2,Same Super-Peer,1
1,TestClient-1-74288b44-30ac-4c75-a146-4afa6a747ef5-f73d2bd7-1039-4c72-a9a7-ac8ceafd79d5,0.0,LN2,Same Super-Peer,1
1,TestClient-1-74288b44-30ac-4c75-a146-4afa6a747ef5-2b889133-f4cc-4d61-9c88-417f356953be,0.0,LN2,Same Super-Peer,1
1,TestClient-1-74288b44-30ac-4c75-a146-4afa6a747ef5-12390db9-93e8-4771-96c4-16b6061441da,0.0,LN2,Same Super-Peer,1
1,TestClient-1-74288b44-30ac-4c75-a146-4afa6a747ef5-c5c9e44c-f938-4f8d-bb19-f946b8fc4746,0.0,LN2,Same Super-Peer,1
1,TestClient-1-74288b44-30ac-4c75-a146-4afa6a747ef5-70e1937b-8569-4ed7-977b-d5620e8d4426,0.0,LN2,Same Super-Peer,1
1,TestClient-1-74288b44-30ac-4c75-a146-4afa6a747ef5-1e1c1955-5731-4265-b68f-ceee931c176b,0.0,LN2,Same Super-Peer,1
1,TestClient-1-74288b44-30ac-4c75-a146-4afa6a747ef5-919cfcb3-1bcf-4144-bcf4-713ad16d4311,0.0,LN2,Same Super-Peer,1
1,TestClient-1-74288b44-30ac-4c75-a146-4afa6a747ef5-445848c9-c8c8-4619-bcf5-f95deb43fdfb,0.0,LN2,Same Super-Peer,1
1,TestClient-1-74288b44-30ac-4c75-a146-4afa6a747ef5-3682d400-e9ff-4066-ae12-5f8e2c4cb051,0.0,LN2,Same Super-Peer,1
1,TestClient-1-74288b44-30ac-4c75-a146-4afa6a747ef5-2657f2d7-5874-4f7a-bec8-8813c77806ab,0.0,LN2,Same Super-Peer,1
1,TestClient-1-74288b44-30ac-4c75-a146-4afa6a747ef5-e72aa610-f981-4f90-886d-385d379b1bb4,0.0,LN2,Same Super-Peer,1
1,TestClient-1-74288b44-30ac-4c75-a146-4afa6a747ef5-e33c9ba8-a614-4745-97b5-0ad7062c7e7c,0.0,LN2,Same Super-Peer,1
1,TestClient-1-74288b44-30ac-4c75-a146-4afa6a747ef5-39199aee-746a-47fc-bea7-834b4584168d,0.0,LN2,Same Super-Peer,1
1,TestClient-1-74288b44-30ac-4c75-a146-4afa6a747ef5-5f3c9669-4c4f-4269-9bbf-268a63ca4878,0.0,LN2,Same Super-Peer,1
1,TestClient-1-74288b44-30ac-4c75-a146-4afa6a747ef5-3ebd4e52-147e-4a2b-b2fe-2088bed6ffc2,0.0,LN2,Same Super-Peer,1
1,TestClient-1-74288b44-30ac-4c75-a146-4afa6a747ef5-c0af2c86-8e81-4a76-8260-f44ce2999acb,0.0,LN2,Same Super-Peer,1
1,TestClient-1-74288b44-30ac-4c75-a146-4afa6a747ef5-7c4dca86-5d1d-4e72-9053-bb056e08affa,0.0,LN2,Same Super-Peer,1
1,TestClient-1-74288b44-30ac-4c75-a146-4afa6a747ef5-3ae0fb8e-880c-464f-bf85-ffadd52c75cc,0.0,LN2,Same Super-Peer,1
